time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
502	92.00804	0.1380493	122.3449	-3.907847
503	92.46804	0.08436767	121.0578	-4.140574
504	92.19495	0.1130457	125.2054	-3.741213
505	92.51951	0.01864258	124.4274	-3.746277
506	91.74098	0.01735352	122.9478	-3.646392
507	93.05805	0.2348816	121.7429	-3.914228
508	91.91628	0.1360791	123.0968	-3.849653
509	91.92378	0.1951343	120.9754	-3.700791
510	92.27692	0.2227441	123.8025	-4.376626
511	91.91372	0.07028931	120.6142	-3.827449
512	91.79806	0.1307104	122.5983	-4.029665
513	91.71665	0.1667529	120.5238	-4.232478
514	92.55954	0.2116699	120.9028	-3.527173
515	92.78286	0.1725574	122.0254	-3.680679
516	91.11798	0.1729053	123.3279	-3.939954
517	92.02673	0.02373779	121.8031	-3.952969
518	92.58911	0.1265137	120.6595	-3.920137
519	90.62537	0.1309399	121.5642	-3.554888
520	92.19424	0.3334851	124.2945	-3.647617
521	92.97518	0.04696411	120.7723	-3.569778
522	90.52383	-0.04380981	124.7948	-3.99206
523	90.96751	0.2012988	120.1889	-3.566406
524	92.12275	0.06238891	122.1648	-3.785146
525	91.59997	-0.002414551	121.9617	-4.205383
526	92.0295	-0.01928467	121.2546	-3.631213
527	91.45298	-0.03350586	118.7107	-3.900569
528	90.85657	-0.1056299	124.1071	-3.94033
529	90.92502	0.02036133	120.1312	-4.015349
530	91.06555	0.04444824	121.8765	-3.824263
531	90.67893	0.1680103	121.3083	-3.467617
532	90.79247	0.1103821	120.8317	-3.360547
533	91.69836	0.02081055	120.2075	-3.566152
534	91.28388	0.1077246	118.6875	-3.75001
535	91.45519	-0.07877197	119.2178	-3.506028
536	91.12841	0.1282153	118.6531	-3.439211
537	91.13871	0.1294165	121.9971	-3.858804
538	90.6756	0.1758716	120.7928	-3.575115
539	90.3224	-0.02653686	121.0067	-3.517529
540	90.12037	0.3067395	122.6197	-3.237578
541	89.63003	0.2156763	119.6982	-3.601963
542	89.50715	0.09559204	120.2515	-3.551099
543	90.6555	0.06313721	121.1045	-4.089399
544	91.66071	0.3954187	123.3443	-3.904358
545	91.04112	0.0940686	120.4037	-3.397468
546	90.22694	0.1938879	118.6004	-3.55864
547	89.7279	0.1819336	119.2626	-3.779468
548	91.30197	-0.03165771	122.2374	-4.08156
549	90.8983	0.006516113	119.1674	-3.60009
550	90.46578	0.06599121	120.374	-3.738281
551	90.20283	0.1767163	122.8311	-3.746594
552	89.26172	0.1490955	120.1298	-3.882766
553	89.8177	0.2052209	120.73	-3.58165
554	89.71745	0.03831299	119.9904	-3.580259
555	89.9984	0.1299963	120.195	-3.516499
556	90.77868	-0.0640625	120.3003	-3.688706
557	89.83363	-0.1371545	119.958	-3.805225
558	89.79532	0.006992187	121.9184	-3.608782
559	90.46771	0.03472534	117.888	-3.544636
